event_id,file,replace,notes
910551956,legacy_data/event_results/910551956.txt,true,1999 Western Regional — name typos and multi-day Novice Doubles Net merge
1000071985,legacy_data/event_results/1000071985.txt,true,2001 Frankfurt Open — ol/li format parser only captured p1 per division
948943299,legacy_data/event_results/948943299.txt,true,2000 Arica Open — mixed old/new format team rows and spurious player rows
915561090,legacy_data/event_results/915561090.txt,true,1999 Worlds — not in mirror; 19 divisions recovered via HTTP fetch
1035277529,legacy_data/event_results/1035277529.txt,true,2003 Worlds — not in mirror; 15 divisions recovered via HTTP fetch
980969461,legacy_data/event_results/980969461.txt,true,2001 Worlds — Manually Entered Results section has complete final standings
1079444598,legacy_data/event_results/1079444598.txt,true,German Open 2004 — division headers lacked colons
1036298726,legacy_data/event_results/1036298726.txt,true,Colorado Shred 4 2003 — ordinal+paren format not matched; BIG 3 Round 2 only
1070954568,legacy_data/event_results/1070954568.txt,true,Colorado Shred 5 2004 — sub-division headers without colons
1189345008,legacy_data/event_results/1189345008.txt,true,5th Wilanow 2007 — i doubles separator; backtick in header; missing colons
1102443443,legacy_data/event_results/1102443443.txt,true,Footbag Fiesta 2005 — Open Sick3 header lacked colon; Open Big One truncated
1032602594,legacy_data/event_results/1032602594.txt,true,Victorian Championships 2002 — Sic 3 wrong keyword; Shred 30 no place numbers
1208408135,legacy_data/event_results/1208408135.txt,true,ShrEdmonton 2008 — Glow Square and animation challenge had no DIVISION_KEYWORDS
1156283186,legacy_data/event_results/1156283186.txt,true,Hackrifice Open 2006 — bare Intermediate sub-sections caused dedup collapse
1111735438,legacy_data/event_results/1111735438.txt,true,Rochester Shred 2005 — bare Intermediate/Open headers merged same-named divisions
1061453080,legacy_data/event_results/1061453080.txt,true,Australian East Coast 2003 — tied = marker in Open Routines
1094201584,legacy_data/event_results/1094201584.txt,true,Frankfurt 2004 — Open FIVES no keyword; encoding truncated Open Freestyle
1405875596,legacy_data/event_results/1405875596.txt,true,East Coast Championships 2014 — tie N. placement format not captured
1133888413,legacy_data/event_results/1133888413.txt,true,Valentines Day Massacre 2006 — 4-SQUARE parsed as placement not header
1096695238,legacy_data/event_results/1096695238.txt,true,UMaine 2004 — LEVEL 1/2 RANKING sub-section headers not detected
1092073845,legacy_data/event_results/1092073845.txt,true,Czech Championships 2004 — Big 1 not detected; Open Freestyle appeared twice
1134914723,legacy_data/event_results/1134914723.txt,true,RNH Contest 2006 — Big 1 not detected as division
909186885,legacy_data/event_results/909186885.txt,true,1999 Southern Regional — sport headers with bare sub-divisions
1386623061,legacy_data/event_results/1386623061.txt,true,US Open 2014 — freestyle in h2-scoped sections; net results missed entirely
1473932659,legacy_data/event_results/1473932659.txt,true,Austrian Championships 2016 — Overall Austria parenthetical not detected
1624971880,legacy_data/event_results/1624971880.txt,true,21st IFPA Euro Net 2021 — flag emoji and country annotations caused failures
1155788760,legacy_data/event_results/1155788760.txt,true,2006 Southeast Regionals — trick combos with > dropped names
1044624680,legacy_data/event_results/1044624680.txt,true,2003 Southeastern Regional — Intermediate Big3 captured 2/3
1080757998,legacy_data/event_results/1080757998.txt,true,Space City 2004 — Open Sick3/Sick Trick each missing 3rd place
1035817350,legacy_data/event_results/1035817350.txt,true,NSW Championships 2002 — Sic 3 wrong keyword
1167422711,legacy_data/event_results/1167422711.txt,true,07 Southeastern Net — no division header; entries 8-9 missing
1046985067,legacy_data/event_results/1046985067.txt,true,Steel City 2003 — Intermediate Big3 captured 2/3
1688144863,legacy_data/event_results/1688144863.txt,true,East Coast Championships 2023 — 5 (tie)- format not matched
1447494731,legacy_data/event_results/1447494731.txt,true,Lake Erie 2016 — 2ndPlace: no space; split-line doubles
1745686591,legacy_data/event_results/1745686591.txt,true,Finnish Open 2024 — 1st round Round Robin garbage row
1022992222,legacy_data/event_results/1022992222.txt,true,Shred Zero 2002 — Big 3 division lacks keyword
1645621833,legacy_data/event_results/1645621833.txt,true,IV Basque 2022 — seeding+partial+final sections parsed with duplicates
1742511366,legacy_data/event_results/1742511366.txt,true,VII Basque 2025 — date/location lines parsed as placements
1566500647,legacy_data/event_results/1566500647.txt,true,I Basque 2019 — date/registration line parsed as p23
1102788509,legacy_data/event_results/1102788509.txt,true,Sunshred 2005 — trick combo > annotations dropped Rewind Combo p1 and p2
1677285621,legacy_data/event_results/1677285621.txt,true,V Basque 2023 — 1. round section header parsed as placement
1103297805,legacy_data/event_results/1103297805.txt,true,2e Championnat de France 2005 — Big 1 unrecognized; G* nickname fails check
2001980001,legacy_data/event_results/2001980001.txt,true,1980 Worlds pre-mirror — inline multi-placement parsing errors
2001981001,legacy_data/event_results/2001981001.txt,true,1981 Worlds pre-mirror — inline multi-placement parsing errors
2001982001,legacy_data/event_results/2001982001.txt,true,1982 Worlds pre-mirror — inline multi-placement parsing errors
2001983001,legacy_data/event_results/2001983001.txt,true,1983 Worlds pre-mirror — inline multi-placement parsing errors
